stop_date,stop_time,driver_gender,driver_age,driver_race,violation,search_conducted,stop_outcome,is_arrested,drugs_related_stop,year
2006-09-06,2023-09-14 12:15:00,M,105,White,Speeding,False,Citation,False,False,2006
2008-02-04,2023-09-14 14:40:00,M,101,White,Speeding,False,Citation,False,False,2008
2008-02-15,2023-09-14 14:34:00,M,101,White,Speeding,False,Citation,False,False,2008
2008-04-05,2023-09-14 10:07:00,M,101,White,Speeding,False,Citation,False,False,2008
2005-11-10,2023-09-14 18:58:00,M,100,White,Speeding,False,Citation,False,False,2005
2011-06-20,2023-09-14 12:05:00,M,100,White,Speeding,False,Warning,False,False,2011
2005-10-28,2023-09-14 09:40:00,M,99,White,Speeding,False,Citation,False,False,2005
2006-01-29,2023-09-14 10:16:00,F,99,White,Speeding,False,Warning,False,False,2006
2006-03-13,2023-09-14 16:15:00,M,99,Asian,Speeding,False,Warning,False,False,2006
2007-03-19,2023-09-14 10:50:00,M,99,White,Speeding,False,Citation,False,False,2007
2014-04-25,2023-09-14 16:40:00,M,99,White,Speeding,False,Warning,False,False,2014
2007-05-27,2023-09-14 16:15:00,M,98,White,Speeding,False,Citation,False,False,2007
2009-01-24,2023-09-14 07:04:00,M,98,White,Speeding,False,Citation,False,False,2009
2009-12-10,2023-09-14 15:21:00,M,98,White,Speeding,False,Warning,False,False,2009
2006-02-02,2023-09-14 11:05:00,F,97,White,Speeding,False,Citation,False,False,2006
2006-05-25,2023-09-14 16:30:00,M,97,White,Speeding,False,Citation,False,False,2006
2008-06-19,2023-09-14 16:47:00,M,97,White,Speeding,False,Citation,False,False,2008
2013-04-06,2023-09-14 10:48:00,M,97,White,Speeding,False,Citation,False,False,2013
2006-02-26,2023-09-14 18:05:00,M,96,White,Speeding,False,Citation,False,False,2006
2006-07-12,2023-09-14 08:53:00,M,96,White,Speeding,False,Citation,False,False,2006
2006-09-17,2023-09-14 16:55:00,M,96,White,Speeding,False,Citation,False,False,2006
2006-12-13,2023-09-14 20:07:00,F,96,White,Speeding,False,Warning,False,False,2006
2007-11-30,2023-09-14 20:11:00,F,96,White,Speeding,False,Warning,False,False,2007
2011-09-21,2023-09-14 11:14:00,F,96,White,Speeding,False,Citation,False,False,2011
2013-01-08,2023-09-14 14:10:00,M,96,White,Speeding,False,Citation,False,False,2013
2005-11-26,2023-09-14 10:00:00,M,95,White,Speeding,False,Citation,False,False,2005
2006-06-22,2023-09-14 19:25:00,M,95,White,Speeding,False,Warning,False,False,2006
2007-08-29,2023-09-14 07:41:00,M,95,White,Speeding,False,Citation,False,False,2007
2013-12-02,2023-09-14 19:21:00,M,95,White,Speeding,False,Warning,False,False,2013
2015-11-29,2023-09-14 14:26:00,M,95,White,Speeding,False,Warning,False,False,2015
2005-10-29,2023-09-14 12:25:00,M,94,Asian,Speeding,False,Citation,False,False,2005
2006-01-22,2023-09-14 14:55:00,M,94,White,Speeding,False,Citation,False,False,2006
2006-10-23,2023-09-14 14:45:00,M,94,White,Speeding,False,Citation,False,False,2006
2007-01-09,2023-09-14 14:00:00,M,94,White,Speeding,False,Citation,False,False,2007
2008-11-22,2023-09-14 02:41:00,M,94,White,Speeding,False,Citation,False,False,2008
2010-06-13,2023-09-14 09:19:00,F,94,White,Speeding,False,Citation,False,False,2010
2011-05-08,2023-09-14 09:52:00,M,94,White,Speeding,False,Citation,False,False,2011
2013-05-07,2023-09-14 14:44:00,M,94,White,Speeding,False,Citation,False,False,2013
2005-11-04,2023-09-14 11:50:00,M,93,White,Speeding,False,Citation,False,False,2005
2006-07-26,2023-09-14 14:55:00,F,93,White,Speeding,False,Citation,False,False,2006
2006-08-28,2023-09-14 13:20:00,M,93,White,Speeding,False,Citation,False,False,2006
2006-10-26,2023-09-14 22:30:00,M,93,White,Speeding,False,Citation,False,False,2006
2007-04-04,2023-09-14 09:02:00,M,93,White,Speeding,False,Citation,False,False,2007
2007-07-08,2023-09-14 08:46:00,M,93,White,Speeding,False,Citation,False,False,2007
2007-12-03,2023-09-14 08:17:00,M,93,White,Speeding,False,Citation,False,False,2007
2008-06-05,2023-09-14 14:57:00,M,93,Asian,Speeding,False,Citation,False,False,2008
2010-11-09,2023-09-14 15:59:00,M,93,Black,Speeding,False,Citation,False,False,2010
2012-08-09,2023-09-14 09:16:00,F,93,White,Speeding,False,Citation,False,False,2012
2013-04-08,2023-09-14 11:55:00,F,93,White,Speeding,False,Citation,False,False,2013
2014-12-08,2023-09-14 13:55:00,M,93,White,Speeding,False,Citation,False,False,2014
2015-05-29,2023-09-14 11:51:00,M,93,White,Speeding,False,Citation,False,False,2015
